,Unnamed: 0,geo_value,date,direction,issue,lag,full_time_work_prop,stderr,sample_size,fips,aggregate_level,state
188,20,la,2019-01-04,1.0,2020-06-23,536,0.05157086100647401,0.00051019871545528,3451,22,state,LA
189,21,ma,2019-01-04,1.0,2020-06-23,536,0.08167143362905001,0.0007308626637723299,4960,25,state,MA
190,22,md,2019-01-04,1.0,2020-06-23,536,0.075099020687113,0.00066256827704123,3904,24,state,MD
191,23,me,2019-01-04,1.0,2020-06-23,536,0.07219092438667099,0.0013653891982663,1069,23,state,ME
192,24,mi,2019-01-04,1.0,2020-06-23,536,0.053046341772111996,0.00038316034798287,8130,26,state,MI
193,25,mn,2019-01-04,1.0,2020-06-23,536,0.084133956386337,0.00075812975279602,4104,27,state,MN
194,26,mo,2019-01-04,1.0,2020-06-23,536,0.07206458203349099,0.00066937513405479,4502,29,state,MO
195,27,mp,2019-01-04,-1.0,2020-06-23,536,0.071756601548228,0.0048226596919281,46,69,state,MP
196,28,ms,2019-01-04,1.0,2020-06-23,536,0.05052406944682,0.0006735832571297901,2157,28,state,MS
197,29,mt,2019-01-04,1.0,2020-06-23,536,0.06108876212858,0.0014327153143224,837,30,state,MT
198,30,nc,2019-01-04,1.0,2020-06-23,536,0.05943716034482,0.0004405690616216,6115,37,state,NC
199,31,nd,2019-01-04,1.0,2020-06-23,536,0.09053917345445299,0.0021786727503504,571,38,state,ND
200,32,ne,2019-01-04,1.0,2020-06-23,536,0.061222774014443995,0.0009806895080231599,1630,31,state,NE
201,33,nh,2019-01-04,1.0,2020-06-23,536,0.079080998904448,0.0015449679549052,921,33,state,NH
202,34,nj,2019-01-04,1.0,2020-06-23,536,0.085060470385914,0.00062744215320229,6287,34,state,NJ
203,35,nm,2019-01-04,1.0,2020-06-23,536,0.039291905210101,0.00074702575804655,1445,35,state,NM
204,36,nv,2019-01-04,1.0,2020-06-23,536,0.032900358047115004,0.0005346324921140901,1822,32,state,NV
205,37,ny,2019-01-04,1.0,2020-06-23,536,0.071626768123491,0.00037618613098597996,15186,36,state,NY
206,38,oh,2019-01-04,1.0,2020-06-23,536,0.061740122360995,0.00041845921784327,9224,39,state,OH
207,39,ok,2019-01-04,1.0,2020-06-23,536,0.05353902981916599,0.00054799668389373,2960,40,state,OK
208,40,or,2019-01-04,1.0,2020-06-23,536,0.04458908888040701,0.00061346471618376,2626,41,state,OR
209,41,pa,2019-01-04,1.0,2020-06-23,536,0.075694231447951,0.0004824633086085,9718,42,state,PA
210,42,pr,2019-01-04,0.0,2020-06-23,536,0.036377874170324995,0.00049882935142801,2528,72,state,PR
211,43,ri,2019-01-04,1.0,2020-06-23,536,0.07220733080325999,0.0016207572665117,805,44,state,RI
212,44,sc,2019-01-04,1.0,2020-06-23,536,0.048510165928509,0.00053782636990386,3044,45,state,SC
213,45,sd,2019-01-04,1.0,2020-06-23,536,0.07631156015373,0.0020023997352885,654,46,state,SD
214,46,tn,2019-01-04,1.0,2020-06-23,536,0.054800560597763,0.00051369343172812,4111,47,state,TN
215,47,tx,2019-01-04,1.0,2020-06-23,536,0.046470374109881,0.00021402406163497,15761,48,state,TX
